MemberInternalID,BranchID,Recency,Frequency,Monetary,RScore,FScore,MScore,RFMScore,RCategory,FCategory,MCategory,Segmentation,AOV,Branch_Name,Age,isCheating
76,6,1244,1,75000.0,33,0.0,1.0112586799703365,11.33708622665678,Low,Low,Low,Lost,75000.0,Citraland (9GO),27.0,1
77,4,2353,4,285000.0,33,4.285714285714286,3.842782983887278,13.709499089867188,Low,Medium,Medium,Hibernating,71250.0,Sukomanunggal,42.0,0
78,4,1933,1,90000.0,33,0.0,1.2135104159644037,11.404503471988136,Low,Low,Low,Lost,90000.0,Sukomanunggal,32.0,1
78,4,1849,1,75000.0,33,0.0,1.0112586799703365,11.33708622665678,Low,Low,Low,Lost,75000.0,Sukomanunggal,32.0,1
78,4,1745,26,2515000.0,33,35.714285714285715,33.91087440167195,34.20838670531922,Low,High,High,Can't Lose Them,96730.76923076923,Sukomanunggal,32.0,0
79,3,2408,1,25000.0,33,0.0,0.3370862266567788,11.11236207555226,Low,Low,Low,Lost,25000.0,Graha Family,37.0,0
80,2,22,25,2161000.0,100,34.285714285714285,29.13773343221196,54.47448257264208,High,High,High,Champions,86440.0,Intro,44.0,0
81,3,294,46,3850000.0,33,64.28571428571429,51.91127890514393,49.732331063619405,Low,High,High,Can't Lose Them,83695.65217391304,Graha Family,30.0,0
82,3,55,48,5345000.0,100,67.14285714285714,72.0690352592193,79.73729746735881,High,High,High,Champions,111354.16666666669,Graha Family,50.0,0
83,4,339,69,6197500.0,33,97.14285714285714,83.56367558821547,71.23551091035755,Low,High,High,Can't Lose Them,89818.84057971014,Sukomanunggal,41.0,0
84,5,1305,15,962500.0,33,20.0,12.977819726285984,21.992606575428663,Low,High,Medium,Can't Lose Them,64166.66666666666,Klampis,38.0,0
85,10,1498,5,230000.0,33,5.714285714285714,3.101193285242365,13.938492999842694,Low,Medium,Medium,Hibernating,46000.0,Bukit Darmo Golf,44.0,0
85,13,1498,1,32500.0,33,0.0,0.4382120946538124,11.146070698217938,Low,Low,Low,Lost,32500.0,Margorejo,44.0,1
86,4,816,21,3217500.0,33,28.57142857142857,43.38299737072743,34.984808647385336,Low,High,High,Can't Lose Them,153214.2857142857,Sukomanunggal,22.0,0
86,4,2356,3,282500.0,33,2.857142857142857,3.809074361221601,13.222072406121484,Low,Medium,Medium,Hibernating,94166.66666666669,Sukomanunggal,22.0,1
86,4,2177,5,805000.0,33,5.714285714285714,10.854176498348275,16.522820737544663,Low,Medium,Medium,Hibernating,161000.0,Sukomanunggal,22.0,1
